Gene name,Log2(Fold Expression)  (ATXN2[Q127] vs. WT),Fold Expression (ATXN2[Q127] vs. WT)
Dctn5,0.259572715,1.197124098
Prkcb,-0.114787228,0.923518503
Hs3st4,0.922638357,1.895578702
Il4ra,-0.227148905,0.854321559
Gtf3c1,-0.34742555,0.785985417
Sbk1,-1.281110168,0.41147875
Nfatc2ip,-0.312354863,0.805326179
Sh2b1,-0.251224011,0.840183285
Sult1a1,0.402091682,1.321422378
Slx1b,0.21791558,1.163051983
Aldoa,0.169919372,1.12499561
Fam57b,-0.534466445,0.690413967
Doc2a,0.989411354,1.985374756
Ino80e,0.21316947,1.159232117
Sez6l2,-0.422911525,0.745917756
Cdipt,0.179615259,1.132581806
Maz,-0.25338912,0.838923334
Cd2bp2,0.142042354,1.103466134
Zfp768,0.16770336,1.123268918
E430018J23Rik,0.256500959,1.194577919
Srcap,-0.431431353,0.741525724
Srcap,-0.526884019,0.694052153
Zfp629,0.135035872,1.098120118
Orai3,-0.231999859,0.851453791
Stx1b,-0.314602017,0.804072772
Bckdk,0.180188075,1.133031582
Armc5,-0.268017232,0.830460105
Rgs10,0.255240023,1.193534296
Tial1,-0.146908611,0.903183721
Bag3,-0.447575271,0.733274222
Sec23ip,-0.167752802,0.890228256
Fgfr2,-0.164282352,0.892372307
Tacc2,-0.306490719,0.808606262
Bub3,0.189352736,1.140252028
Cpxm2,0.383573651,1.304569361
Lhpp,-0.690503538,0.619637543
Fam53b,-0.243561134,0.844657792
Fam175b,0.160878271,1.117967517
Zranb1,-0.155451685,0.897851226
Dhx32,0.154335737,1.112909081
Dock1,-0.241923258,0.845617268
Ptpre,-0.187260583,0.878271818
Mki67,0.513258755,1.427270471
9430038I01Rik,0.421743631,1.339545542
Mapk1ip1,0.20142898,1.149836697
Ppp2r2d,0.115684189,1.083488761
Stk32c,0.551445603,1.465553468
Lrrc27,0.32709375,1.254483722
Inpp5a,-1.013815165,0.49523488
Tubgcp2,0.128486007,1.09314593
Zfp511,0.242743611,1.183240723
Sprn,0.326712608,1.254152347
Zfp941,0.314185321,1.243309368
Ric8,0.126172289,1.091394206
Sirt3,0.177056432,1.130574789
Ifitm2,0.329099715,1.256229205
B4galnt4,0.183636248,1.13574287
Ptdss2,-0.226677164,0.854600956
Rnh1,-0.172007248,0.887606878
Taldo1,0.140595019,1.102359675
Pddc1,0.198714063,1.147674926
Cend1,0.272058189,1.207529294
Cd151,0.227591991,1.170878998
Chid1,0.126864746,1.091918173
Ap2a2,-0.149255678,0.90171556
Tollip,-0.250721693,0.840475871
Brsk2,-0.186294481,0.878860151
Ctsd,0.306780666,1.236944411
Lsp1,0.518870175,1.432832707
Th,-1.150093317,0.450596085
Cd81,0.15324831,1.112070546
Cdkn1c,0.428820878,1.346132926
Cars,0.199056342,1.147947244
Nadsyn1,-0.273393393,0.827371179
Shank2,-1.186039209,0.439507835
Cttn,0.173497662,1.127789379
Ccnd1,0.323347956,1.251230821
Insr,-0.215588868,0.861194572
Zfp358,0.200152412,1.148819714
Camsap3,-0.365779728,0.776049333
Xab2,0.151036307,1.110366777
Pcp2,-0.648862958,0.637782776
Fcor,-0.284049153,0.821282719
Trappc5,-0.16521664,0.891794595
BC068157,-0.504994929,0.704662855
Timm44,0.165760726,1.121757419
Elavl1,-0.357437283,0.780549871
Cers4,0.151020408,1.11035454
Zfp958,-0.21298641,0.862749472
Lig4,-0.35142833,0.78380771
Myo16,-0.354210287,0.782297746
Irs2,-0.365564823,0.776164943
Carkd,0.244493783,1.184677015
Arhgef7,-0.197365135,0.872141945
Cul4a,0.142870203,1.104099508
Upf3a,0.179932237,1.132830675
Fbxo25,0.140904695,1.102596323
Kbtbd11,-0.18912524,0.877137401
Plat,0.263904035,1.200723555
Kat6a,-0.332190037,0.794329761
Ank1,-0.521449625,0.696671463
Gins4,0.159352526,1.116785818
Zmat4,0.330917746,1.257813257
1810011O10Rik,0.7155568,1.642116861
Tm2d2,0.175670162,1.129488954
Tacc1,-0.267567724,0.830718896
Whsc1l1,-0.226774082,0.854543547
Ash2l,0.104525439,1.075140675
Pomk,0.184490353,1.136415452
Zfp703,-0.396311373,0.759798426
Erlin2,0.115664542,1.083474006
Unc5d,-0.308787048,0.807320232
Dusp26,0.164583027,1.120842082
Rnf122,0.191170529,1.141689648
Tti2,0.186360762,1.137889734
Mak16,0.166499019,1.12233162
Nrg1,0.267466575,1.203692243
Purg,-0.383240372,0.766713575
Tex15,0.693159759,1.616820769
Ubxn8,0.176173717,1.129883257
Dctn6,0.237454489,1.178910739
Tnks,-0.448391795,0.732859328
Mfhas1,-0.601521969,0.659058316
D8Ertd82e,-0.444879413,0.734645719
Lonrf1,-0.494257808,0.709926805
Dlc1,-0.252828866,0.839249184
Sgcz,0.624519825,1.541697614
Pcm1,-0.191811919,0.87550546
Frg1,0.189390421,1.140281813
Gm6180,0.29031083,1.222903725
Fat1,-0.456288874,0.728858734
Pdlim3,0.354246587,1.278317836
Ufsp2,0.160539836,1.117705289
Snx25,-0.158415243,0.896008769
Acsl1,0.11919184,1.086126273
Casp3,1.340885401,2.533067287
Stox2,-0.319964617,0.801089524
Trappc11,0.089468367,1.063978035
Rwdd4a,0.149463132,1.109156646
AA386476,0.551608503,1.465718958
Spcs3,-0.288092315,0.818984291
Hmgb2,0.717843652,1.644721885
BC030500,0.93127948,1.906966474
Nek1,-0.206444919,0.866670246
Sh3rf1,-0.288793296,0.818586457
Ddx60,0.520192921,1.434147013
Tll1,-0.329510331,0.795806545
Tma16,0.192683384,1.142887488
Npy5r,1.166704297,2.244982653
Naf1,-0.598267257,0.660546826
Csgalnact1,0.275145262,1.210115928
Lpl,0.711878896,1.637935897
D130040H23Rik,-0.230225742,0.852501488
Gm10033,-0.484356582,0.714815795
Gm10311,-0.543703198,0.68600776
Zfp963,0.351576537,1.275954193
Pbx4,0.477185339,1.39202521
Gatad2a,-0.184668586,0.879851171
Hapln4,-0.382083535,0.767328617
Tmem161a,0.195964962,1.145490078
Homer3,-0.815891504,0.568057351
Upf1,-0.297870755,0.813452069
Crtc1,-0.397002548,0.759434504
Kxd1,0.170378327,1.125353555
Jund,0.480590045,1.395314217
Mpv17l2,-0.370577931,0.773472588
Ifi30,0.509003341,1.423066757
Nr2f6,-0.342881083,0.788465162
Babam1,0.133626074,1.097047561
Dda1,0.144727573,1.105521876
Pgls,0.210301787,1.156930168
Unc13a,-0.421661794,0.746564185
Jak3,0.478796482,1.393580635
Fcho1,0.222902268,1.167079038
Rab8a,0.218915477,1.163858346
Fam32a,0.184050426,1.136068973
Calr3,0.439044505,1.355706148
Cherp,-0.383028746,0.766826051
Slc35e1,-0.129363641,0.914234621
Med26,-0.258462667,0.835978261
Nwd1,-0.375876606,0.770637019
Large,-0.56722033,0.674915911
Arhgap10,-0.197566733,0.872020084
Zfp827,-0.160564899,0.894674685
Otud4,-0.150003001,0.901248588
Hhip,-0.492603332,0.710741413
Smarca5,-0.222072989,0.857332661
Usp38,-0.098994926,0.933683229
Rnf150,-0.250877291,0.840385229
Gm10645,1.301721215,2.465228227
Tbc1d9,-0.253287703,0.83898231
Tecr,0.164063007,1.120438146
Gipc1,0.18135877,1.133951369
Cd97,0.192681178,1.142885741
Lphn1,-0.418215811,0.74834954
Mri1,0.353716612,1.277848331
Ccdc130,0.241684556,1.182372447
Cacna1a,-0.522962987,0.69594105
Nfix,-0.381320059,0.767734795
Mast1,-0.539974451,0.687783089
Asna1,0.222689837,1.166907203
2310036O22Rik,0.303221345,1.233896465
Tnpo2,-0.257780284,0.836373766
Fbxw9,0.239462316,1.180552594
Wdr83,0.181721553,1.134236551
Neto2,-0.202281624,0.869174875
Phkb,-0.154211521,0.898623365
Cbln1,0.26415813,1.200935051
NA,0.249340266,1.188663424
NA,0.227589726,1.17087716
Zfp423,-0.343291581,0.788240848
Cnep1r1,-0.161375791,0.894171959
Cyld,-0.163154095,0.893070458
Sall1,-0.362915516,0.77759157
Tox3,0.690406322,1.61373795
Fto,-0.289217532,0.818345781
Gnao1,-0.633755684,0.64449645
Amfr,-0.09173844,0.938391311
Bbs2,0.132605791,1.096271997
Mt2,0.42221126,1.339979807
Mt1,0.360458612,1.283833945
Nup93,-0.229940727,0.852669923
Herpud1,0.251939774,1.190807137
Pllp,0.360403419,1.28378483
Zfp319,-0.429589212,0.742473164
Zfp319,-0.307013273,0.808313432
Gtl3,0.184745565,1.136616501
Csnk2a2,-0.228535011,0.853501142
Cnot1,-0.203615561,0.868371594
Cdh8,-0.226850346,0.854498375
A330008L17Rik,-0.282051772,0.822420555
Bean1,-0.618607402,0.651299308
Dync1li2,0.126793608,1.091864332
Nae1,0.18531698,1.137066775
Fam96b,0.226920441,1.1703341
Nol3,0.546245575,1.460280558
4931428F04Rik,-0.31751141,0.802452883
Plekhg4,-0.331122339,0.79491784
Tppp3,0.290073454,1.22270253
Fam65a,-0.455156773,0.729430903
Gfod2,-0.184287935,0.880083348
Pskh1,0.246281087,1.186145579
Dus2l,0.16259484,1.119298506
Slc7a6os,0.163240224,1.119799332
Has3,-0.879692197,0.543483373
Vps4a,0.132665917,1.096317687
4922502B01Rik,0.421048909,1.338900647
Ist1,0.171383575,1.126137957
Zfp821,0.156985536,1.114955041
Ap1g1,-0.246370643,0.843014503
Phlpp2,-0.206818283,0.866445984
Mtss1l,-0.843794882,0.557176037
Aars,0.159066647,1.116564542
Glg1,-0.432467163,0.740993523
Wdr59,-0.232539728,0.851135229
Znrf1,-0.22269927,0.85696057
Zfp1,0.16320911,1.119775182
Bcar1,-0.952730358,0.516653748
Cfdp1,0.179474458,1.132471276
Kars,0.135880545,1.098763236
Terf2ip,0.136687815,1.099378229
Cntnap4,-0.103128605,0.931011824
Cdyl2,-0.366106689,0.775873475
Sdr42e1,0.339758396,1.265544639
Mphosph6,0.175001979,1.128965953
Cdh13,0.29760921,1.229105888
Hsbp1,0.213223144,1.159275245
Gse1,-0.520769954,0.696999751
Map1lc3b,0.169584721,1.124734684
Zcchc14,-0.337669671,0.791318466
Klhdc4,0.192771614,1.142957385
Zfpm1,-0.856637537,0.55223815
Cyba,0.397017509,1.316782903
Mvd,0.201297894,1.149732225
Aprt,0.189109683,1.140059944
Galns,0.472038925,1.387068392
Cbfa2t3,-0.688073754,0.620682014
Cdk10,0.198769674,1.147719166
Tcf25,0.12601088,1.091272107
Dbndd1,-0.358793169,0.779816632
Gas8,0.249223739,1.188567419
2810455O05Rik,0.21429643,1.160138003
Ccsap,0.194790721,1.144558118
Agt,0.441630393,1.358138296
2310022B05Rik,-0.236392856,0.848865063
Ttc13,0.115214318,1.083135938
Trim67,-0.78554076,0.580134467
Egln1,-0.129410669,0.91420482
Disc1,-0.540489256,0.687537707
Ntpcr,0.218578756,1.163586736
Pcnxl2,-0.305067003,0.809404625
Slc35f3,-0.284549147,0.820998137
Nrp1,0.26688841,1.203209956
Alkbh8,-0.234396562,0.850040472
Gucy1a2,-0.497536242,0.708315372
Kbtbd3,-0.171084285,0.888174906
Dcun1d5,-0.2295167,0.852920571
Tmem123,-0.23987186,0.846820524
Birc2,-0.182943925,0.880903612
Yap1,-0.339185685,0.790487369
AK129341,-0.73357439,0.601412021
Trpc6,-0.266437203,0.831370117
Pgr,-0.404411823,0.755544261
Gm16485,-0.474845529,0.719543828
Cntn5,0.550796449,1.464894177
Jrkl,-0.242310449,0.845390351
Mtmr2,0.103510238,1.074384382
Sesn3,-0.316242814,0.803158809
Cwc15,0.198828816,1.147766217
Mre11a,-0.127589881,0.915359343
Gpr83,0.548155069,1.462214607
Panx1,0.309521109,1.239296257
Slc36a4,-0.084584557,0.943056063
Zfp266,-0.161518261,0.894083661
A230050P20Rik,0.290982574,1.223473263
Ppan,0.290484339,1.223050809
Eif3g,0.207249671,1.154485194
Fdx1l,0.262612462,1.199649088
Qtrt1,0.262731761,1.199748293
Smarca4,-0.251123995,0.840241533
Rab3d,-0.674696445,0.626464018
BC018242,-0.383919835,0.766352562
Elavl3,-0.216285557,0.860778795
Zfp653,0.244086444,1.184342574
Elof1,0.165163875,1.121293438
Rp9,0.300952643,1.231957633
Bmper,0.383288175,1.304311242
Tbx20,1.920669436,3.785986945
Herpud2,-0.478662372,0.717642695
Sept7,-0.196138605,0.872883726
B3gat1,-0.402907789,0.756332339
Vps26b,-0.169244617,0.889308193
Ntm,-0.202520892,0.869030736
Snx19,-0.193110049,0.874718039
Zbtb44,-0.258390516,0.836020071
Arhgap32,-0.703425884,0.614112177
Fli1,0.266558975,1.202935238
Ets1,0.278502613,1.212935314
Kirrel3,-0.396943539,0.759465566
4930581F22Rik,0.278307468,1.212771258
Foxred1,0.216623917,1.162011154
Hyls1,0.167744443,1.123300905
Fez1,0.125145808,1.090617952
Slc37a2,0.468459725,1.383631463
Hepacam,-0.262984246,0.833362307
Nrgn,1.506420255,2.841042188
Siae,0.213311106,1.159345929
Gramd1b,-0.343822926,0.787950592
Ubash3b,-0.5703969,0.673431495
Sorl1,-0.746892393,0.595885731
Sc5d,0.176013693,1.129757938
Grik4,-0.483764559,0.715109186
Arhgef12,-0.182069615,0.881437625
Pvrl1,-0.594036281,0.662486848
Rnf26,-0.305398792,0.8092185
Mcam,0.306522578,1.23672315
Cbl,-0.44367069,0.73526148
Bcl9l,-0.456147701,0.728930059
Ddx6,-0.452221185,0.730916656
Ift46,0.159591213,1.1169706
Kmt2a,-0.362607777,0.777757455
Ube4a,-0.259469032,0.835395321
Scn4b,-0.669945359,0.628530492
Dscaml1,-0.371631145,0.772908134
Bace1,-0.189393699,0.876974197
Gm16536,-0.289109647,0.818406979
Pafah1b2,0.093066834,1.066635192
Sik3,-0.329884112,0.79560039
Nxpe4,0.483923197,1.398541628
Htr3a,1.652877212,3.144601519
Usp28,-0.236138806,0.849014556
Ncam1,-0.209189281,0.865023193
Arhgap20,-0.714181006,0.609551066
Rdx,0.109884158,1.079141583
AI593442,-0.385604233,0.765458341
Dmxl2,-0.106834732,0.928623225
Dnaja4,-0.159640789,0.895247947
Ireb2,-0.681487918,0.623521876
Psma4,0.183014289,1.135253346
Ube2q2,-0.127804056,0.915223464
Fbxo22,0.162834898,1.119484767
Etfa,-0.345682144,0.786935805
C230081A13Rik,-0.395639628,0.760152283
Cspg4,-0.328670621,0.796269873
Ptpn9,-0.311023206,0.806069866
Sin3a,-0.154802576,0.898255285
Gm6166,1.119552493,2.172795645
Rpp25,0.385335267,1.30616329
Cox5a,-0.160957962,0.894430964
Fam219b,0.185726985,1.137389969
Csk,-0.236993149,0.848511931
Edc3,-0.345840067,0.786849669
Sema7a,-0.686136901,0.621515854
Stoml1,0.196400627,1.145836045
NA,-0.448340505,0.732885382
6030419C18Rik,-0.587109685,0.665675195
Nptn,-0.219654739,0.85877093
Neo1,-0.133013099,0.911924885
Adpgk,0.253984839,1.19249634
Arih1,-0.22324264,0.856637869
Hexa,0.168799743,1.124122876
Parp6,-0.134651616,0.91088977
Tle3,-0.437591553,0.738366215
Anp32a,0.125657067,1.091004511
Coro2b,-0.503862202,0.705216335
Fem1b,-0.140306339,0.907326475
Aagab,-0.130731896,0.913367971
Smad3,-0.239769459,0.846880632
Rpl4,0.124141648,1.089859113
Map2k1,-0.151162028,0.900524837
Megf11,-0.234441608,0.850013931
Rab11a,-0.201413155,0.869698256
Dennd4a,-0.256514609,0.837107838
Vwa9,0.208793059,1.155720917
Igdcc4,-0.316551834,0.802986794
Pdcd7,-0.180786312,0.882222028
Mtfmt,0.196637914,1.146024521
Oaz2,0.207834706,1.15495345
Zfp609,-0.230046615,0.852607343
Usp3,-0.306746989,0.808462639
Aph1c,0.289760262,1.222437124
Tpm1,0.214433804,1.160248477
Tln2,-0.230648771,0.852251553
Vps13c,-0.246591359,0.842885541
Rora,-0.646761835,0.638712312
Gtf2a2,0.182924241,1.13518249
Rnf111,-0.239063516,0.847295131
Fam63b,-0.200345948,0.870341836
Adam10,-0.326233059,0.797616379
Tcf12,-0.197616294,0.871990127
Rfx7,-0.289169818,0.818372846
Pygo1,-0.202870026,0.868820454
Unc13c,-0.229779273,0.852765352
Myo5a,-0.384472579,0.766059004
Gnb5,0.185295686,1.137049992
Mapk6,0.200474665,1.149076353
Tmod3,0.270235986,1.206005081
Tmod2,-0.191944003,0.875425308
Gclc,0.085346378,1.060942434
Mto1,0.128932551,1.093484333
Eef1a1,0.190218359,1.140936389
Gm26377,0.247859389,1.187443927
Tmem30a,-0.182368934,0.88125477
Filip1,0.576646149,1.49137819
Myo6,-0.190468609,0.876321033
Htr1b,-0.827294469,0.563585161
NA,-1.198806882,0.435635406
Phip,-0.24711524,0.842579523
Hmgn3,0.306577444,1.236770184
Elovl4,-0.133094877,0.911873195
Ibtk,-0.230168715,0.852535187
Ube2cbp,-0.211377889,0.863711923
Dopey1,-0.111022487,0.92593159
Rwdd2a,0.314450592,1.243537998
Me1,-0.245002314,0.843814442
Prss35,0.669688046,1.590728967
Snap91,-0.236705601,0.848681067
Syncrip,-0.358595908,0.779923265
Tmed3,0.195380524,1.145026132
Ankrd34c,1.22332406,2.3348406
Ctsh,0.313087314,1.242363469
Gm5620,0.475648463,1.390543101
Zic1,-0.148287788,0.902320715
Plod2,0.265648484,1.2021763
1190002N15Rik,-0.219507113,0.85885881
Chst2,-0.299464017,0.812554216
Paqr9,-0.204968542,0.867557604
Pcolce2,0.35556832,1.27948951
Pls1,-0.323656589,0.799042093
Atr,-0.140833035,0.906995291
Atp1b3,-0.130470812,0.913533277
Rasa2,-0.272841573,0.827687702
Clstn2,-0.671210647,0.627979493
Rbp1,0.481795043,1.396480127
Faim,0.211422637,1.157829353
Pik3cb,-0.202937335,0.868779921
Mras,0.174215198,1.128350434
Nck1,-0.177014858,0.884531326
Stag1,-0.145764381,0.903900339
Pccb,0.165770367,1.121764915
Msl2,-0.384543538,0.766021326
Srprb,0.186186776,1.137752515
Dnajc13,-0.190078601,0.876557963
Acpp,0.882866859,1.844036049
Cpne4,0.687270164,1.610233785
Mrpl3,0.164721489,1.120949659
Atp2c1,-0.240388379,0.846517396
Col6a4,1.25710237,2.390152003
Ppm1m,0.328436881,1.255652174
Twf2,0.206285357,1.153713781
Abhd14a,0.292329311,1.224615893
Abhd14b,0.260376364,1.197791138
Rrp9,0.197745845,1.14690496
Dock3,-0.340625554,0.789698823
Cacna2d2,-0.833300054,0.56124397
Nprl2,0.227587312,1.170875201
Tusc2,0.140011415,1.101913834
Slc38a3,0.226399854,1.169911869
Rbm5,0.175120756,1.129058905
Camkv,1.047444105,2.066864921
Bsn,-0.863130212,0.549758453
Amt,0.171496734,1.12622629
Gpx1,0.259820938,1.197330087
Usp19,-0.202086732,0.869292298
Slc25a20,0.223534152,1.167590317
Shisa5,0.219956487,1.164698458
Trex1,0.242210165,1.182803293
Atrip,0.173417971,1.127727084
Plxnb1,-0.365954012,0.775955589
3000002C10Rik,0.278915346,1.213282365
Map4,-0.216210961,0.860823303
Smarcc1,-0.155114695,0.898060973
Scap,-0.266189635,0.831512793
Setd2,-0.1675971,0.890324338
Pth1r,0.348640323,1.273359975
Tmie,0.56673789,1.481170674
Als2cl,0.258919001,1.19658178
Lrrfip2,0.121622138,1.087957453
Epm2aip1,-0.198147774,0.871668951
Trank1,0.201667666,1.150026947
Stac,-1.223953247,0.428108016
Pdcd6ip,-0.39608404,0.75991816
Clasp2,0.12175636,1.088058677
Fbxl2,0.335251808,1.261597589
Cnot10,0.153332099,1.112135135
Gpd1l,0.141146317,1.102781001
Stt3b,-0.283874571,0.821382109
Itga9,-0.247154951,0.842556331
Vill,0.79730463,1.737851285
Plcd1,0.403971553,1.32314535
Acvr2b,-0.373826504,0.771732889
Scn5a,1.139193058,2.20257792
Ttc21a,0.564659417,1.479038305
Rpl14,0.414197832,1.332557542
Trak1,-0.380157292,0.768353815
Cck,-0.418690652,0.748103273
Sec22c,-0.448347032,0.732882067
Fam198a,0.414164007,1.332526299
Snrk,-0.254147559,0.83848242
Tcaim,0.140790179,1.102508806
Zkscan7,0.321380377,1.249525529
Zfp105,0.175573066,1.12941294
Tmem158,-0.42800194,0.743290493
2010315B03Rik,-0.27090022,0.828802224
Nudt10,-0.283520103,0.821583947
Syp,0.165345028,1.121434243
Wdr45,0.187850013,1.139064951
Praf2,0.272471547,1.207875323
Ccdc120,0.241247997,1.182014716
Pqbp1,0.235524461,1.177334654
Lancl3,-0.320774794,0.800639782
Xk,-0.554386914,0.680946371
Med14,-0.336778641,0.791807347
Usp9x,-0.25693956,0.836861301
Cask,-0.108476207,0.927567253
Maob,0.197508782,1.146716517
Ndp,-0.305745482,0.809024062
Gm14636,-0.601533711,0.659052952
Chst7,-0.439965039,0.737152472
Slc9a7,-0.130771503,0.913342896
Cdk16,-0.257846415,0.836335429
Usp11,0.194528058,1.144349754
Syn1,-0.503072858,0.705602287
Cfp,-0.342883408,0.788463891
Zcchc12,0.692703664,1.616309707
Lonrf3,-0.238913044,0.847383508
Ube2a,-0.207383424,0.866106641
Zbtb33,-0.533250809,0.690995965
Tmem255a,0.164055496,1.120432313
Cul4b,-0.163993925,0.89255073
Gria3,-0.63804704,0.642582217
Gm22413,-0.667852461,0.629442954
Xiap,-0.204589024,0.867785855
Tenm1,-0.303714365,0.81016386
Dcaf12l2,0.767516792,1.702337149
Dcaf12l1,-0.239694804,0.846924457
Ocrl,-0.121792413,0.919045114
Zdhhc9,-0.289058208,0.818436159
Bcorl1,-0.35381937,0.782509748
Rab33a,0.195242465,1.144916563
Igsf1,0.724720657,1.652580623
6720401G13Rik,0.250042081,1.189241803
Hs6st2,-0.216982171,0.860363263
Gpc3,0.588093519,1.50325892
Cxx1c,0.20824948,1.155285546
Cxx1a,0.267523676,1.203739886
6330419J24Rik,0.246924445,1.186674649
Slc9a6,-0.3989636,0.758402907
Arhgef6,0.207775325,1.154905913
Rbmx,0.17923677,1.132284713
Gpr101,0.699132621,1.6235284
C230004F18Rik,-0.309945077,0.806672469
Slitrk4,-0.441797912,0.736216551
Fmr1,-0.25128746,0.840146334
Aff2,-0.214887142,0.861613559
Ids,-0.380388349,0.768230768
BC023829,-0.161232844,0.894260561
Mamld1,-0.375062138,0.771072201
Mtm1,-0.198556378,0.871422109
Vma21,-0.402801812,0.756387899
Pnma3,0.5259974,1.439928724
Zfp275,-0.09769547,0.934524589
Zfp92,1.116872191,2.168762678
Slc6a8,-0.12637651,0.916129525
Idh3g,0.1587964,1.116355405
Hcfc1,-0.385295033,0.765622412
Mecp2,-0.224518284,0.855880757
Flna,0.221721232,1.166124021
Taz,0.159234837,1.116694719
Gdi1,0.124861464,1.090403021
Slc10a3,0.285947055,1.21921035
Dkc1,-0.138271332,0.908607216
Mpp1,0.163377106,1.119905583
Tbl1x,-0.180205256,0.882577421
Dmd,-0.452266395,0.730893751
Tab3,-0.243297145,0.844812365
Il1rapl1,-0.326821864,0.797290916
Pdk3,-0.131464496,0.91290428
Zfx,-0.344235837,0.787725106
Klhl15,-0.208890796,0.865202179
Zxdb,-0.402851045,0.756362087
Zc3h12b,-0.220751092,0.858118569
Ar,-0.242041618,0.845547895
Ophn1,0.123258039,1.08919181
Tmem28,-0.254140139,0.838486733
Eda,-0.350866139,0.784113205
Pdzd11,0.155761287,1.114009308
Gdpd2,0.450198561,1.36622828
Dlg3,-0.124332279,0.917428557
Snx12,-0.136474773,0.909739391
Nlgn3,-0.309838682,0.80673196
Zmym3,0.126885906,1.091934188
Nono,0.18665868,1.138124734
Nhsl2,-0.622028649,0.649756628
Ftx,-0.295412272,0.814839446
Rlim,-0.171239644,0.888079266
Magee1,-0.310069144,0.8066031
5330434G04Rik,-0.232810155,0.850975703
Brwd3,-0.318340838,0.801991673
Hdx,-0.279545993,0.823850237
Klhl4,-0.19128491,0.875825336
Diap2,-0.233402237,0.850626534
Cstf2,0.095951043,1.068769723
Hnrnph2,0.146823809,1.107129366
Armcx4,-0.308758825,0.807336025
Armcx6,0.354695648,1.278715794
Tceal6,0.255143613,1.193454539
Armcx5,0.137483209,1.099984511
Gprasp2,0.215794399,1.161343215
Bex2,0.280587375,1.214689329
Bex1,0.378494859,1.299984894
Wbp5,0.18458496,1.136489977
Ngfrap1,0.195044115,1.144759165
Tceal3,0.357896298,1.281555802
Fam199x,-0.205143481,0.867452411
Nrk,-0.480968416,0.716496511
Tbc1d8b,-0.369251847,0.774183869
Mid2,-0.285451829,0.820484606
Acsl4,-0.17159684,0.887859414
Tmem164,-0.20013231,0.870470728
Chrdl1,-0.828284383,0.563198586
Amot,-0.446115613,0.734016494
Lrch2,-0.452761889,0.730642769
Alas2,0.528778911,1.442707579
Tro,0.162820429,1.11947354
Gnl3l,0.121811964,1.088100613
Fgd1,-0.328613311,0.796301505
Tsr2,0.172494605,1.127005538
Wnk3,-0.218595684,0.859401569
Fam120c,-0.323706567,0.799014413
Phf8,-0.181940779,0.881516342
Huwe1,-0.382312745,0.767206716
Hsd17b10,0.138950825,1.101104066
Iqsec2,-0.430180043,0.74216916
Tspyl2,0.213345438,1.159373519
Klf8,-0.254382402,0.838345942
Ubqln2,-0.759774625,0.590588584
Mbtps2,-0.283593655,0.821542061
Yy2,-0.476980805,0.718479647
Cnksr2,-0.331486851,0.794717021
Rps6ka3,-0.463630766,0.725158985
Reps2,-0.408036023,0.753648636
Ctps2,0.15749681,1.115350237
Zrsr2,0.252327204,1.191126967
Car5b,0.441832781,1.358328835
Glra2,0.575097919,1.489778574
Gpm6b,-0.278832346,0.824257865
Frmpd4,-0.375041515,0.771083224
Mid1,-0.519782782,0.69747684
Atxn2,-0.268186629,0.8303626
AW549877,-0.226714119,0.854579065
Prkaa1,0.17970486,1.132652149
Rictor,-0.298401535,0.813152848
Osmr,0.306758463,1.236925375
Nipbl,-0.26743415,0.830795813
Lmbrd2,-0.375543147,0.770815161
Zfr,-0.116032586,0.922721651
6030458C11Rik,0.121225521,1.087658399
Drosha,-0.234104842,0.850212372
Cdh9,1.028516412,2.039925425
Cdh18,-0.258295119,0.836075354
NA,1.471244335,2.772609301
Basp1,0.781377137,1.718770757
Myo10,-0.978104353,0.50764633
March11,-0.330936402,0.795020297
Trio,-0.376661241,0.770218008
Ctnnd2,-0.475920349,0.719007961
Dap,-0.645777285,0.639148342
March6,-0.367063314,0.775359178
Sema5a,-0.353147149,0.782874442
Laptm4b,0.151613668,1.11081123
Hrsp12,0.212418705,1.15862902
Kcns2,-0.293898702,0.815694765
Vps13b,-0.154499888,0.898443765
Rgs22,0.557397425,1.471612081
Pabpc1,-0.315649539,0.803489157
Zfp706,-0.289963126,0.817922964
Ubr5,-0.179286808,0.883139466
Azin1,-0.120891087,0.919619468
Cthrc1,-0.280804366,0.823131957
Rims2,-0.185017765,0.879638244
Lrp12,-0.114077851,0.923972711
Zfpm2,-0.415988594,0.749505726
Oxr1,-0.134903878,0.910730511
Nudcd1,-0.173273548,0.886828138
Sybu,-0.365291417,0.776312048
Rad21,-0.151804388,0.900123968
Samd12,-0.309994996,0.806644557
Mal2,0.471802026,1.386840647
Mrpl13,0.184838235,1.136689513
Sntb1,0.469601929,1.384727339
Has2,0.764938176,1.699297176
Trmt12,0.217781961,1.162944269
Mtss1,-0.930226147,0.524776075
Trib1,-0.625221908,0.648320048
Fam84b,-0.30935666,0.807001545
Asap1,-0.32837975,0.79643043
Zfat,-0.272701949,0.82776781
Khdrbs3,0.296892196,1.228495179
Fam135b,-0.378507495,0.76923297
Trappc9,-0.351916611,0.783542475
Ago2,-0.634942114,0.643966652
Ptk2,-0.117702022,0.921654527
Slc45a4,-0.333773881,0.793458195
Bai1,-0.314709395,0.804012928
Ly6e,0.220396787,1.165053969
Zc3h3,-0.608775318,0.655753125
Naprt1,0.390645742,1.31098006
Tsta3,0.144535691,1.105374848
Puf60,0.136878148,1.099523278
Nrbp2,0.209350035,1.156167188
Plec,-0.266968608,0.831063945
