,Gene name,Log2(Fold expression) (Atxn1(154Q/2Q) vs. WT),Fold Expression (Atxn1(154Q/2Q) vs. WT)
428,Slk,-0.438307279,0.738
429,Ptplb,-0.44026347600000004,0.737
430,Dcn,-0.516635639,0.6990000000000001
431,Pde9a,-0.49410907,0.71
432,Chd1l,-0.256700472,0.8370000000000001
433,D6Wsu163e,-0.25325728399999997,0.8390000000000001
434,Eef1d,-0.26015189699999997,0.835
435,Zfp467,-0.459972731,0.727
436,Gprk5,-0.61705613,0.652
437,Gadd45b,-0.336427665,0.792
438,Prkg1,-0.921390165,0.528
439,Ppargc1b,-0.24639546399999998,0.843
440,Fgf14,-0.6461121639999999,0.639
441,Nrk,-0.426625474,0.7440000000000001
442,Cnot4,-0.336427665,0.792
443,Srprb,-0.268816758,0.83
444,Zfp101,-0.272297327,0.828
445,D3Ertd300e,-0.6551715029999999,0.635
446,Scn1a,-0.314732593,0.804
447,MGI:1932093,-0.21926996399999998,0.8590000000000001
448,Ak3l1,-0.232768963,0.851
449,Mgll,-0.23446525399999998,0.85
450,Cbx5,-0.401634795,0.757
451,Lhx1,-0.486004021,0.7140000000000001
452,Ptpn12,-0.46992925799999996,0.722
453,B3galt1,-0.347398782,0.7859999999999999
454,Manba,-0.364013496,0.777
455,Zfp36l1,-0.564904848,0.6759999999999999
456,Myo10,-0.320125852,0.8009999999999999
457,Tesk1,-0.438307279,0.738
458,Kcnj9,-0.39213709700000005,0.762
459,Bicd2,-0.44026347600000004,0.737
460,Cacna2d2,-0.35845397100000004,0.78
461,Fut9,-0.49410907,0.71
462,Ipo4,-0.345564459,0.787
463,Dap3,-0.215914857,0.861
464,Ppp1r14b,-0.343732465,0.7879999999999999
465,Gsk3b,-0.30222618,0.8109999999999999
466,Rbm21,-0.320125852,0.8009999999999999
467,Bxdc2,-0.22263289100000003,0.857
468,Arhgef12,-0.43245455200000005,0.741
469,Tinf2,-0.35291578700000004,0.7829999999999999
470,Lrrc49,-0.307572802,0.8079999999999999
471,Spcs3,-0.23107466399999999,0.852
472,Ttc4,-0.293358943,0.816
473,Rnh1,-0.229382353,0.853
474,Dcamkl1,-0.444183845,0.735
475,BC020025,-0.23107466399999999,0.852
476,Senp1,-0.826232932,0.564
477,Tm6sf1,-0.343732465,0.7879999999999999
478,BC023488,-0.579921884,0.669
479,D2Bwg0891e,-0.22263289100000003,0.857
480,Ubl7,-0.227692025,0.8540000000000001
481,Rhobtb2,-0.268816758,0.83
482,Fbxw2,-0.502259911,0.706
483,Tdrd3,-0.32915966399999996,0.7959999999999999
484,Stx4a,-0.309359421,0.807
485,Recc1,-0.492078535,0.711
486,E330036I19Rik,-0.24468509600000002,0.8440000000000001
487,Crsp3,-0.284545873,0.821
488,Asahl,-0.277533976,0.825
489,Igfbp5,-1.177881725,0.442
490,2810421I24Rik,-0.341902795,0.789
491,2310047B19Rik,-0.236163541,0.8490000000000001
492,Phf20,-0.284545873,0.821
493,Centd1,-0.212567535,0.863
494,Zfyve26,-0.265344567,0.8320000000000001
495,Phf22,-0.418889825,0.748
496,Itsn1,-0.334607229,0.7929999999999999
497,Synj2,-0.5458241070000001,0.685
498,Mef2a,-0.214240226,0.862
499,AA536743,-0.300448367,0.812
500,Jarid1a,-0.867752202,0.5479999999999999
501,Suz12,-0.25497785100000003,0.838
502,Abcf1,-0.336427665,0.792
503,Car7,-0.305788392,0.809
504,Hist1h2bp,-0.31293931199999997,0.805
505,Eif2s1,-0.166502663,0.8909999999999999
506,0610009O20Rik,-0.37894449700000005,0.769
507,AA415817,-0.199255376,0.871
508,Fip1l1,-0.321928095,0.8
509,Gtf3c2,-0.256700472,0.8370000000000001
510,Lphn1,-0.289827252,0.818
511,Sfrs2ip,-0.529072743,0.693
512,2310007H09Rik,-0.224317298,0.856
513,Rgs8,-0.38458370299999994,0.7659999999999999
514,Wnk2,-0.204233052,0.868
515,6330583M11Rik,-0.147202107,0.903
516,Mrps7,-0.256700472,0.8370000000000001
517,Ndst3,-0.698997744,0.616
518,1500011J06Rik,-0.118726939,0.9209999999999999
519,Pwp1,-0.388355457,0.764
520,4933426M11Rik,-0.21926996399999998,0.8590000000000001
521,Ankrd28,-0.20091269399999998,0.87
522,Mipol1,-0.16326792,0.893
523,Gna12,-0.311148256,0.8059999999999999
524,Mtdh,-0.24127043199999998,0.846
525,4932416N17Rik,-0.380821784,0.768
526,Bai1,-0.263611599,0.833
527,A030012M09Rik,-0.282789701,0.8220000000000001
528,Adcy2,-0.325539348,0.7979999999999999
529,Abcc8,-0.512513651,0.701
530,Bace1,-0.284545873,0.821
531,Cbl,-0.531156057,0.6920000000000001
532,2610507B11Rik,-0.7784322109999999,0.583
533,Psmd11,-0.364013496,0.777
534,3110001I20Rik,-0.40545145,0.755
535,Ccnh,-0.236163541,0.8490000000000001
536,Acbd3,-0.40927823,0.753
537,Pltp,-0.224317298,0.856
538,D3Ertd789e,-0.347398782,0.7859999999999999
539,9130404D08Rik,-0.533242384,0.691
540,2700067D09Rik,-0.268816758,0.83
541,Ap1gbp1,-0.612637459,0.654
542,D13Ertd332e,-0.592919225,0.6629999999999999
543,Itpr1,-0.209227962,0.865
544,Usp39,-0.204233052,0.868
545,Pcp4,-0.323732592,0.799
546,Fut8,-0.19759996,0.872
547,S100a11,-0.543719518,0.6859999999999999
548,Inppl1,-0.277533976,0.825
549,Brpf1,-0.37894449700000005,0.769
550,Sepw1,-0.16165326300000002,0.894
551,11-Sep,-0.330973234,0.795
552,Nr2f6,-0.57132159,0.6729999999999999
553,Riok3,-0.187707155,0.878
554,AA407659,-0.311148256,0.8059999999999999
555,Zfp598,-0.181149439,0.882
556,LOC385049,-0.53951953,0.688
557,Fos,-0.343732465,0.7879999999999999
558,4931406I20Rik,0.166072676,1.122
559,Cdc42,0.271425676,1.207
560,Morf4l2,0.209141398,1.156
561,Ppp2r1a,0.150559677,1.11
562,Rrm1,0.154453593,1.113
563,Ela3b,0.255802837,1.194
564,Dhx15,0.275007047,1.21
565,Usp14,0.26543689600000003,1.202
566,Cdkn2d,0.190298792,1.141
567,Slc25a3,0.16735792800000002,1.123
568,Rcbtb2,0.259423152,1.197
569,Pafah1b3,0.282143229,1.216
570,Acta2,0.32308179,1.251
571,Rnd3,0.311503115,1.2409999999999999
572,Bub3,0.133563526,1.097
573,Commd4,0.26543689600000003,1.202
574,Cabc1,0.272620455,1.208
575,Uck2,0.40599236,1.325
576,Tgfb3,0.46988597600000004,1.385
577,Sfxn1,0.589763487,1.505
578,Apoc1,0.337996464,1.264
579,Cplx1,0.200378798,1.149
580,Ssr1,1.328262029,2.511
581,MGI:2180715,0.22650853,1.17
582,Cidea,0.432959407,1.35
583,Zfp535,0.384049807,1.305
584,Ltbp2,0.45206823,1.368
585,Rag2,0.392866916,1.3130000000000002
586,Cdyl,0.504874589,1.419
587,Kcne4,0.15574923300000001,1.114
588,Mkrn3,0.309176187,1.239
589,Bhlhb5,0.26423615100000003,1.2009999999999998
590,Nes,0.37851162299999996,1.3
591,Tnfaip6,0.326537348,1.254
592,Stx7,0.159629186,1.117
593,Col8a1,0.284514133,1.218
594,Fusip1,0.339137385,1.265
595,Glt28d1,0.25096157399999997,1.19
596,S100a13,0.28688114800000003,1.22
597,Cops7b,0.190298792,1.141
598,B3galt3,0.21038886399999998,1.157
599,Acsl4,0.40816837100000003,1.327
600,2310038H17Rik,0.535057595,1.449
601,Mab21l2,0.48026512200000004,1.395
602,2610018G03Rik,0.19156265100000003,1.1420000000000001
603,Praf1,0.21038886399999998,1.157
604,Rab14,0.269033146,1.205
605,Nfyb,0.22527493,1.169
606,Asb13,0.282143229,1.216
607,St6galnac5,0.23511432,1.177
608,Atp6v1c1,0.19156265100000003,1.1420000000000001
609,Rp2h,0.324234562,1.252
610,Slc25a36,0.197865391,1.147
611,Spock1,0.610700062,1.527
612,Depdc6,0.172487516,1.127
613,Slc35a5,0.24610401,1.186
614,Igbp1,0.63505783,1.5530000000000002
615,Xbp1,0.20163386100000003,1.15
616,Lor,0.22650853,1.17
617,LOC434585,0.32308179,1.251
618,Tce4,0.19408705199999998,1.1440000000000001
619,Sprrl7,0.438292852,1.355
620,Sprrl2,0.22404027399999998,1.168
621,Otof,0.19156265100000003,1.1420000000000001
622,Cenpc1,0.2880632,1.2209999999999999
623,Tcl1b3,0.424384672,1.3419999999999999
624,Gbe1,0.240008965,1.181
625,Sim1,0.36513259299999995,1.288
626,2310069N01Rik,0.605020153,1.521
627,Sgpp1,0.217851097,1.163
628,Qscn6,0.231432408,1.1740000000000002
