,Gene name,Log2(Fold Expression) (ATXN2-BAC-Q72 vs. WT),Fold Expression (ATXN2-BAC-Q72 vs. WT)
234,Cxxc5,-0.32661137,0.797407251
235,Ankrd34a,-0.47711938600000003,0.718410636
236,Angpt1,0.43891751799999995,1.3555868219999998
237,Creg1,-0.5101881620000001,0.702130857
238,Camkk1,-0.41777131,0.7485801459999999
239,Kcnk13,-0.895488024,0.537565321
240,Kcnc3,-0.457638383,0.728177272
241,Slc44a5,0.8500990270000001,1.8026246540000002
242,Zfp385c,-0.601107597,0.659247638
243,Crebrf,-0.31349265600000004,0.804691302
244,Ppp1r17,-0.314213902,0.804289114
245,Gamt,-0.772205472,0.585521693
246,Syngr3,0.301540971,1.232460125
247,Fbrsl1,-0.576608181,0.670538381
248,Kcnc1,-0.39860793899999997,0.7585898959999999
249,Tuba8,-0.413149029,0.7509823840000001
250,Bdnf,-0.6824880240000001,0.6230897870000001
251,Tbc1d16,0.347219646,1.272106666
252,Hhatl,-0.490057498,0.7119967209999999
253,Airn,-0.755309522,0.592419272
254,Stk17b,-0.352026224,0.783482945
255,Eif2ak2,0.729382575,1.6579294009999999
256,Zranb1,-0.27748695,0.825026892
257,Gm13944,-0.910148263,0.5321304020000001
258,Prkcd,-0.518249214,0.6982186440000001
259,Abca8a,0.7508980040000001,1.6828399859999998
260,Rtn4rl1,-0.389037281,0.763639015
261,Eml5,-0.363378495,0.777342071
262,Tubb2a,0.318020344,1.246618773
263,Sfrp4,1.062125921,2.088006092
264,Fnbp1,-0.478746086,0.7176010540000001
265,Syne2,-0.363689899,0.777174301
266,Diras2,-0.280256629,0.8234445290000001
267,Cdon,-0.48806381200000004,0.7129813220000001
268,Cnr1,-0.336398721,0.79201589
269,Cadps2,0.243846253,1.184145411
270,Tmem62,-0.30921635,0.8070800340000001
271,Aqp6,-1.039200664,0.48659700200000006
272,Cldn14,1.092611432,2.132597102
273,Tmem109,-0.33760035,0.7913564890000001
274,Lhx1os,-0.434438437,0.7399817329999999
275,Icmt,-0.41109588700000005,0.75205189
276,Ajap1,-0.527775586,0.6936233709999999
277,Fam149a,0.43407279299999996,1.351042251
278,Asph,-0.220047578,0.858537123
279,Kcnj9,-0.475787461,0.719074193
280,Ier2,-0.667082131,0.629779136
281,Exph5,-0.327223152,0.7970691790000001
282,1500009C09Rik,-0.379845053,0.768520126
283,Tor4a,-0.8292779920000001,0.562810835
284,Psat1,0.543488979,1.457493025
285,Kcng4,-0.470308155,0.721810405
286,Nfe2l3,0.7839627859999999,1.7218539609999999
287,St5,-0.486780912,0.713615615
288,Ece1,-0.305334479,0.809254575
289,Ppm1e,0.366003305,1.288777583
290,Isoc1,0.439504355,1.35613834
291,Spag1,-0.43282008200000005,0.74081228
292,Hsd3b7,-0.47174915700000003,0.7210898020000001
293,Clip1,-0.23707148399999997,0.84846586
294,Pitpnm1,-0.340260744,0.789898537
295,Tbata,-0.684931338,0.62203543
296,Vim,-0.368388355,0.7746473779999999
297,Gria1,-0.353060365,0.782921537
298,Smg6,-0.338247508,0.7910015859999999
