Gene name,Log2(Fold expression) (Atxn1(154Q/2Q) vs. WT),Fold Expression (Atxn1(154Q/2Q) vs. WT)
Itgb5,-0.488026018,0.713
Itgb5,-0.329159664,0.796
Ccnh,-0.236163541,0.849
Acbd3,-0.40927823,0.753
Pltp,-0.224317298,0.856
D3Ertd789e,-0.347398782,0.786
9130404D08Rik,-0.533242384,0.691
2700067D09Rik,-0.268816758,0.83
Ap1gbp1,-0.612637459,0.654
D13Ertd332e,-0.592919225,0.663
Itpr1,-0.209227962,0.865
Usp39,-0.204233052,0.868
Pcp4,-0.323732592,0.799
Fut8,-0.19759996,0.872
Ppargc1a,-1.15521265,0.449
S100a11,-0.543719518,0.686
Inppl1,-0.277533976,0.825
Brpf1,-0.378944497,0.769
Sepw1,-0.161653263,0.894
11-Sep,-0.330973234,0.795
Nr2f6,-0.57132159,0.673
Riok3,-0.187707155,0.878
AA407659,-0.311148256,0.806
Zfp598,-0.181149439,0.882
LOC385049,-0.53951953,0.688
Fos,-0.343732465,0.788
NA,-0.224317298,0.856
NA,-0.341902795,0.789
NA,-0.217591435,0.86
NA,-0.307572802,0.808
NA,-0.351074441,0.784
NA,-0.261880711,0.834
4931406I20Rik,0.166072676,1.122
Cdc42,0.271425676,1.207
Morf4l2,0.209141398,1.156
Ppp2r1a,0.150559677,1.11
Rrm1,0.154453593,1.113
Ela3b,0.255802837,1.194
Ndn,0.327687364,1.255
Marcks,0.426533138,1.344
Marcks,0.609754962,1.526
Marcks,0.424384672,1.342
Dhx15,0.275007047,1.21
Usp14,0.265436896,1.202
Cdkn2d,0.190298792,1.141
Slc25a3,0.167357928,1.123
Rcbtb2,0.259423152,1.197
Pafah1b3,0.282143229,1.216
Acta2,0.32308179,1.251
Rnd3,0.311503115,1.241
Bub3,0.133563526,1.097
Commd4,0.265436896,1.202
Cabc1,0.272620455,1.208
Arl2bp,0.128293401,1.093
Uck2,0.40599236,1.325
Tmsb10,0.444667067,1.361
Tgfb3,0.469885976,1.385
Sfxn1,0.589763487,1.505
Apoc1,0.337996464,1.264
Cplx1,0.200378798,1.149
Ssr1,1.328262029,2.511
MGI:2180715,0.22650853,1.17
Cidea,0.432959407,1.35
Zfp535,0.384049807,1.305
Ltbp2,0.45206823,1.368
Rag2,0.392866916,1.313
Cdyl,0.504874589,1.419
Kcne4,0.155749233,1.114
Mkrn3,0.309176187,1.239
Bhlhb5,0.264236151,1.201
Nes,0.378511623,1.3
Tnfaip6,0.326537348,1.254
Stx7,0.159629186,1.117
Col8a1,0.284514133,1.218
Fusip1,0.339137385,1.265
NA,0.27857955,1.213
Glt28d1,0.250961574,1.19
S100a13,0.286881148,1.22
Cops7b,0.190298792,1.141
B3galt3,0.210388864,1.157
Acsl4,0.408168371,1.327
2310038H17Rik,0.535057595,1.449
Mab21l2,0.480265122,1.395
2610018G03Rik,0.191562651,1.142
Praf1,0.210388864,1.157
Rab14,0.269033146,1.205
Nfyb,0.22527493,1.169
Asb13,0.282143229,1.216
St6galnac5,0.23511432,1.177
Atp6v1c1,0.191562651,1.142
Rp2h,0.324234562,1.252
Slc25a36,0.197865391,1.147
Spock1,0.610700062,1.527
Depdc6,0.172487516,1.127
Slc35a5,0.24610401,1.186
Igbp1,0.63505783,1.553
Xbp1,0.201633861,1.15
Lor,0.22650853,1.17
NA,0.244887059,1.185
NA,0.301002256,1.232
LOC434585,0.32308179,1.251
Tce4,0.194087052,1.144
Sprrl7,0.438292852,1.355
Sprrl2,0.224040274,1.168
Otof,0.191562651,1.142
Cenpc1,0.2880632,1.221
Tcl1b3,0.424384672,1.342
Gbe1,0.240008965,1.181
Sim1,0.365132593,1.288
2310069N01Rik,0.605020153,1.521
Sgpp1,0.217851097,1.163
Qscn6,0.231432408,1.174
Eln,0.429749851,1.347
Wnt7b,0.145351386,1.106
Slc25a15,0.273814245,1.209
Btbd14b,0.319617934,1.248
Itga4,0.168642036,1.124
Esr1,0.140124224,1.102
Bmp5,0.311503115,1.241
Atp7b,0.166072676,1.122
Mcp,0.445726703,1.362
Il20,0.386259141,1.307
H2afy2,0.304511042,1.235
Klk13,0.381837084,1.303
Dll4,0.215367972,1.161
Rab24,0.328836464,1.256
Epha4,0.145351386,1.106
Eif4e2,0.191562651,1.142
Igfbp4,0.185232254,1.137
Foxh1,0.253384236,1.192
V1rb4,0.280956314,1.215
Magee1,0.214124805,1.16
C030018L16Rik,0.32998465,1.257
Mapre1,0.186500558,1.138
Myt1,0.303342394,1.234
H2-Ea,0.502839758,1.417
Wdr1,0.117695043,1.085
Lip1,0.221567789,1.166
Pspc1,0.358396262,1.282
Etv4,0.342554745,1.268
Src,0.500802053,1.415
Mpp1,0.125651102,1.091
Tpbg,0.362890643,1.286
Tpbg,0.546956178,1.461
Col11a2,0.436161839,1.353
Synpr,0.575312331,1.49
Dab2,0.3068455,1.237
2400003C14Rik,0.265436896,1.202
Wdr26,0.285698126,1.219
Cd99l2,0.186500558,1.138
2310044P18Rik,0.254594043,1.193
Icam1,0.146655222,1.107
Seh1l,0.242450074,1.183
2810003C17Rik,0.736388401,1.666
Homer2,0.40599236,1.325
Spon1,0.40599236,1.325
Doc2a,0.178873958,1.132
Cgref1,0.381837084,1.303
Brca1,0.146655222,1.107
Creb3l3,0.211635253,1.158
4921511K06Rik,0.167357928,1.123
